IGBP iq    i     j    rlong      rlat  iveg frac-c4
   589    13    13    225.00    -59.30   0  0.00
   590    14    13    222.43    -60.53   0  0.00
   591    15    13    219.62    -61.70   0  0.00
   592    16    13    216.55    -62.81   0  0.00
   593    17    13    213.20    -63.84   0  0.00
   594    18    13    209.57    -64.79   0  0.00
   595    19    13    205.65    -65.63   0  0.00
   596    20    13    201.45    -66.36   0  0.00
   597    21    13    196.99    -66.96   0  0.00
   598    22    13    192.31    -67.43   0  0.00
   599    23    13    187.46    -67.74   0  0.00
   600    24    13    182.50    -67.90   0  0.00
   601    25    13    177.50    -67.90   0  0.00
   602    26    13    172.54    -67.74   0  0.00
   603    27    13    167.69    -67.43   0  0.00
   604    28    13    163.01    -66.96   0  0.00
   605    29    13    158.55    -66.36   0  0.00
   606    30    13    154.35    -65.63   0  0.00
   607    31    13    150.43    -64.79   0  0.00
   608    32    13    146.80    -63.84   0  0.00
   609    33    13    143.45    -62.81   0  0.00
   610    34    13    140.38    -61.70   0  0.00
   611    35    13    137.57    -60.53   0  0.00
   612    36    13    135.00    -59.30   0  0.00
   613    37    13    132.66    -58.03   0  0.00
   614    38    13    130.53    -56.72   0  0.00
   615    39    13    128.60    -55.38   0  0.00
   616    40    13    126.84    -54.01   0  0.00
   617    41    13    125.24    -52.61   0  0.00
   618    42    13    123.79    -51.20   0  0.00
   619    43    13    122.48    -49.77   0  0.00
   620    44    13    121.29    -48.32   0  0.00
   621    45    13    120.22    -46.86   0  0.00
   622    46    13    119.26    -45.39   0  0.00
   623    47    13    118.39    -43.90   0  0.00
   624    48    13    117.61    -42.39   0  0.00
   625     1    14    244.47    -42.92   0  0.00
   626     2    14    243.73    -44.47   0  0.00
   627     3    14    242.90    -46.01   0  0.00
   628     4    14    241.98    -47.54   0  0.00
